PC1,PC2,PC3,PC4,PC5,PC6,Cluster
0.8411524109856545,1.334324237420367,-2.152344185738789,-0.19496630778442786,-0.9388365590319953,-0.6001625489406739,0
5.981136813793984,1.682839054742488,1.134982251337718,-0.45374968299470275,-0.4407560028163655,1.277860566088958,3
4.660103218587067,0.4779591487337158,0.7188071813935384,-1.0783084175021749,-0.029500785657247952,-0.30461196672740765,3
3.518131357790508,-0.21842584866836584,0.20883800293634852,-0.24824048330050769,-0.18583898716400052,0.435861135583559,3
5.1172233512068415,1.2999096572423294,1.2101092793829524,-1.0257415783461137,-0.103486408568291,-0.7999692166314588,3
5.462174068374708,1.2621329853100174,1.724936879335192,-0.35018792897474693,-0.21540561447689882,-0.5779130004197706,3
4.922198557949293,1.072323844522294,0.8546925844325887,0.04199522683578933,-0.5196193395992177,1.2133756808319887,3
5.360496009842702,1.1252822935393298,1.1253114947456446,0.016224852184826593,-0.45678176230162215,1.0844900992407405,3
5.956211482948845,1.5652609147443972,2.0268656811292414,0.07806816934841879,-0.3797624407245235,0.7043917703515032,3
3.735577896553373,0.21206390575937326,0.22587766834147638,-1.4405681380907012,-0.11681620330049673,-0.2534484970346712,3
4.984104901033998,2.7793650196362054,1.1671920575136483,-1.1233947665600137,-0.19567215618542133,-0.441490347800413,3
4.67857746106025,0.1893749749851334,-0.008251618872154134,-0.3457042949582555,-0.48438238185303834,1.6842962730761286,3
4.527474832269115,1.140766142443535,1.3412059957438245,-0.5174254862301477,0.006265582459520611,-0.35276369538204366,3
3.3492638563300496,-0.02229585723935613,0.4385586220526935,-0.4478644344155741,-0.06334780664579423,0.31054923175111787,3
0.16300618865082542,3.4537129565877156,-1.20369468703219,0.49253544060369453,-1.0315188768752759,-0.6552636624406748,0
5.211127212248245,0.890939043117895,0.47604678477760987,-0.4136945374532686,-0.49947784166469317,1.2646338111111732,3
4.271899630865747,0.1010302126643226,0.70572995105219,-1.377155174646772,0.011429884342095548,-0.48534638714973194,3
4.613650745278651,2.659070654961432,0.5525069880000305,-1.099796403547505,-0.4970275443789664,-1.212078908098977,3
3.4426616415043148,-0.45994390491525405,-0.14833132439902091,0.10025143773356306,-0.43310530969128697,1.947468941337716,3
4.528727507365467,0.6655799982776182,0.7104238492013853,0.026032672693886535,-0.49698132653823673,1.4357753734809269,3
3.589718404956147,0.5658364112058069,0.11975542355276414,-0.6052611734402852,-0.30905001753256045,-0.40584659100216114,3
4.999362038021857,1.0878350050909027,1.2526514174872756,-0.002911789323007574,-0.43581726010194166,0.4462228151839142,3
